id,Dealership,Date,Model,Text
164,C,6/12/2022,2,Fuel tank cover never opens on its own.
165,C,6/13/2022,1,Meets my needs but is not built with high quality materials
166,C,6/14/2022,3,Affordable jeep.
167,C,6/15/2022,3,Affordable jeep.
168,C,6/16/2022,3,Affordable jeep.
169,B,6/17/2022,1,Occassionaly gets dents.
170,C,6/18/2022,1,Occassionaly gets dents.
171,A,6/19/2022,2,Drivers love the color of this model.
172,A,6/20/2022,2,Drivers love the color of this model.
173,A,6/21/2022,2,Drivers love the color of this model.
174,B,6/22/2022,2,Fuel tank accomodates all of my needs.
175,A,6/23/2022,2,Jeep is expensive but worth it for my safety.
176,B,6/24/2022,3,Affordable jeep.
177,B,6/25/2022,3,Affordable jeep.
178,B,6/26/2022,1,Affordable jeep.
179,B,6/27/2022,1,Affordable jeep.
180,B,6/28/2022,1,Affordable jeep.
181,B,6/29/2022,3,Affordable jeep.
182,B,6/30/2022,2,Model is so popular it is hard to find to buy.
183,C,7/1/2022,3,The color of this model is ugly.
184,C,7/2/2022,3,The color of this model is ugly.
185,B,7/3/2022,1,Easy to find this model to buy.
186,A,7/4/2022,1,Drivers hear road noise but not loudly.
187,C,7/5/2022,1,Occassionaly gets dents.
188,A,7/6/2022,3,Affordable jeep.
189,A,7/7/2022,3,Affordable jeep.
190,A,7/8/2022,3,Affordable jeep.
191,A,7/9/2022,2,Fuel tank cover never opens on its own.
192,A,7/10/2022,1,Meets my needs but is not built with high quality materials
193,A,7/11/2022,1,Affordable jeep.
194,B,7/12/2022,2,The materials used for this jeep are high quality.
195,A,7/13/2022,3,While driving down the road the jeep does not feel safe.
196,B,7/14/2022,3,The materials used for jeep design 3 are cheap
197,C,7/15/2022,1,Fuel tank cover opens rarely on its own. 
198,B,7/16/2022,1,Accident in jeep didn't end in explosion.
199,C,7/17/2022,2,Accident in jeep didn't end in explosion.
200,C,7/18/2022,2,Drivers feel very safe in this model.
201,C,7/19/2022,1,Drivers don't complain about safety in this model.
202,C,7/20/2022,2,Drivers love the color of this model.
203,B,7/21/2022,2,Drivers love the color of this model.
204,A,7/22/2022,2,Drivers love the color of this model.
205,C,7/23/2022,3,Jeep Design 3 gas mileage is not good.
206,A,7/24/2022,2,Fuel tank cover never opens on its own.
207,A,7/25/2022,1,Meets my needs but is not built with high quality materials
208,A,7/26/2022,3,Affordable jeep.
209,A,7/27/2022,1,Affordable jeep.
210,A,7/28/2022,1,Affordable jeep.
211,A,7/29/2022,1,Affordable jeep.
212,C,7/30/2022,2,The materials used for this jeep are high quality.
213,B,7/31/2022,3,While driving down the road the jeep does not feel safe.
214,A,8/1/2022,3,The color of this model is ugly.
215,A,8/2/2022,3,The color of this model is ugly.
216,C,8/3/2022,1,Gas mileage is average in this model.
217,A,8/4/2022,2,Gas mileage is great in this model.
218,B,8/5/2022,2,Model is so popular it is hard to find to buy.
219,A,8/6/2022,3,The color scratches easy.
220,C,8/7/2022,3,Easy to find this model to buy.
221,B,8/8/2022,2,Drivers love the color of this model.
222,C,8/9/2022,3,Easily dentable.
223,B,8/10/2022,3,The road noise is really loud.
224,A,8/11/2022,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
225,C,8/12/2022,,Fuel tank is too small.
226,C,8/13/2022,,Fuel tank is too small.
227,C,8/14/2022,,Fuel tank is too small.
228,C,8/15/2022,2,Fuel tank cover never opens on its own.
229,C,8/16/2022,1,Meets my needs but is not built with high quality materials
230,C,8/17/2022,,Fuel tank is too small.
231,C,8/18/2022,,Fuel tank is too small.
232,C,8/19/2022,,Fuel tank is too small.
233,C,8/20/2022,,Fuel tank is too small.
234,B,8/21/2022,3,Easily dentable.
235,A,8/22/2022,3,The road noise is really loud.
236,A,8/23/2022,2,Drivers love the color of this model.
237,A,8/24/2022,2,Drivers love the color of this model.
238,C,8/25/2022,2,Drivers love the color of this model.
239,B,8/26/2022,3,The materials used for jeep design 3 are cheap
240,C,8/27/2022,1,Fuel tank cover opens rarely on its own. 
241,A,8/28/2022,2,Model is so popular it is hard to find to buy.
242,B,8/29/2022,2,Fuel tank accomodates all of my needs.
243,C,8/30/2022,2,Jeep is expensive but worth it for my safety.
244,A,8/31/2022,3,The color of this model is ugly.
245,C,9/1/2022,3,Jeep Design 3 gas mileage is not good.
246,B,9/2/2022,3,Jeep Design 3 gas mileage is not good.
247,A,9/3/2022,1,Fuel tank works for driver needs.
248,A,9/4/2022,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
249,C,9/5/2022,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
250,C,9/6/2022,2,Drivers love the color of this model.
251,C,9/7/2022,2,Drivers love the color of this model.
252,B,9/8/2022,1,Accident in jeep didn't end in explosion.
253,A,9/9/2022,2,Accident in jeep didn't end in explosion.
254,B,9/10/2022,2,Fuel tank cover never opens on its own.
255,B,9/11/2022,1,Meets my needs but is not built with high quality materials
256,B,9/12/2022,3,Fuel tank is too small.
257,B,9/13/2022,3,Fuel tank is too small.
258,B,9/14/2022,3,Fuel tank is too small.
259,B,9/15/2022,3,Fuel tank is too small.
260,B,9/16/2022,3,Fuel tank is too small.
261,B,9/17/2022,3,Fuel tank is too small.
262,B,9/18/2022,3,Fuel tank is too small.
263,B,9/19/2022,3,Fuel tank is too small.
264,B,9/20/2022,3,Fuel tank is too small.
265,B,9/21/2022,3,Fuel tank is too small.
266,B,9/22/2022,3,Fuel tank is too small.
267,B,9/23/2022,3,Fuel tank is too small.
268,B,9/24/2022,3,Fuel tank is too small.
269,B,9/25/2022,3,Fuel tank is too small.
270,B,9/26/2022,3,Fuel tank is too small.
271,B,9/27/2022,3,Fuel tank is too small.
272,A,9/28/2022,3,Jeep Design 3 gas mileage is not good.
273,C,9/29/2022,3,Jeep Design 3 gas mileage is not good.
274,A,9/30/2022,1,Fuel tank works for driver needs.
275,C,10/1/2022,1,Easy to find this model to buy.
276,C,10/2/2022,1,Drivers hear road noise but not loudly.
277,A,10/3/2022,2,Model is so popular it is hard to find to buy.
278,B,10/4/2022,2,Model is so popular it is hard to find to buy.
279,B,10/5/2022,2,Model is so popular it is hard to find to buy.
280,B,10/6/2022,2,Model is so popular it is hard to find to buy.
281,C,10/7/2022,2,Model is so popular it is hard to find to buy.
282,B,10/8/2022,2,Model is so popular it is hard to find to buy.
283,A,10/9/2022,2,Model is so popular it is hard to find to buy.
284,A,10/10/2022,2,Fuel tank cover never opens on its own.
285,B,10/11/2022,1,Meets my needs but is not built with high quality materials
286,C,10/12/2022,2,Model is so popular it is hard to find to buy.
287,A,10/13/2022,2,Model is so popular it is hard to find to buy.
288,B,10/14/2022,3,Jeep Design 3 gas mileage is not good.
289,C,10/15/2022,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
290,C,10/16/2022,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
291,B,10/17/2022,3,The color of this model is ugly.
292,A,10/18/2022,2,Fuel tank cover never opens on its own.
293,C,10/19/2022,1,Meets my needs but is not built with high quality materials
294,C,10/20/2022,2,Drivers feel very safe in this model.
295,B,10/21/2022,1,Drivers don't complain about safety in this model.
296,A,10/22/2022,1,Fuel tank works for driver needs.
297,B,10/23/2022,3,The color scratches easy.
298,A,10/24/2022,3,Easy to find this model to buy.
299,A,10/25/2022,3,Jeep Design 3 gas mileage is not good.
300,B,10/26/2022,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
301,B,10/27/2022,1,Easy to find this model to buy.
302,C,10/28/2022,1,Drivers hear road noise but not loudly.
303,C,10/29/2022,3,The color of this model is ugly.
304,B,10/30/2022,3,Jeep Design 3 gas mileage is not good.
305,C,10/31/2022,3,Jeep Design 3 gas mileage is not good.
306,B,11/1/2022,3,The fuel tank cover gets stuck closed all of the time.
307,C,11/2/2022,3,Drivers never hear road noise.
308,B,11/3/2022,3,Accident in jeep ended in explosion.
309,C,11/4/2022,1,Fuel tank works for driver needs.
310,C,11/5/2022,3,Accident in jeep ended in explosion.
311,A,11/6/2022,2,Fuel tank cover never opens on its own.
312,B,11/7/2022,1,Meets my needs but is not built with high quality materials
313,B,11/8/2022,3,Jeep Design 3 gas mileage is not good.
314,A,11/9/2022,3,Jeep Design 3 gas mileage is not good.
315,A,11/10/2022,3,The color of this model is ugly.
316,B,11/11/2022,3,Easily dentable.
317,C,11/12/2022,3,The road noise is really loud.
318,A,11/13/2022,2,Model is so popular it is hard to find to buy.
319,A,11/14/2022,2,Model is so popular it is hard to find to buy.
320,A,11/15/2022,2,Model is so popular it is hard to find to buy.
321,A,11/16/2022,2,Model is so popular it is hard to find to buy.
322,A,11/17/2022,2,Model is so popular it is hard to find to buy.
323,A,11/18/2022,2,Model is so popular it is hard to find to buy.
324,A,11/19/2022,2,Model is so popular it is hard to find to buy.
325,A,11/20/2022,2,Model is so popular it is hard to find to buy.
326,C,11/21/2022,1,Gas mileage is average in this model.
327,C,11/22/2022,2,Gas mileage is great in this model.
328,B,11/23/2022,2,Drivers love the color of this model.
329,A,11/24/2022,2,Drivers love the color of this model.
330,C,11/25/2022,3,Accident in jeep ended in explosion.
331,B,11/26/2022,3,The color of this model is ugly.
332,C,11/27/2022,3,Accident in jeep ended in explosion.
333,B,11/28/2022,1,Fuel tank works for driver needs.
334,A,11/29/2022,3,Accident in jeep ended in explosion.
335,C,11/30/2022,2,Fuel tank cover never opens on its own.
336,B,12/1/2022,1,Meets my needs but is not built with high quality materials
337,A,12/2/2022,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
338,C,12/3/2022,3,Jeep Design 3 gas mileage is not good.
339,B,12/4/2022,3,The color of this model is ugly.
340,B,12/5/2022,3,The color of this model is ugly.
341,A,12/6/2022,2,The materials used for this jeep are high quality.
342,C,12/7/2022,3,While driving down the road the jeep does not feel safe.
343,A,12/8/2022,2,Drivers love the color of this model.
344,A,12/9/2022,1,Accident in jeep didn't end in explosion.
345,C,12/10/2022,2,Accident in jeep didn't end in explosion.
346,A,12/11/2022,3,The color of this model is ugly.
347,C,12/12/2022,3,The fuel tank cover gets stuck closed all of the time.
348,A,12/13/2022,3,Drivers never hear road noise.
349,C,12/14/2022,3,Jeep Design 3 gas mileage is not good.
350,B,12/15/2022,2,Model is so popular it is hard to find to buy.
351,B,12/16/2022,2,Model is so popular it is hard to find to buy.
352,B,12/17/2022,2,Model is so popular it is hard to find to buy.
353,C,12/18/2022,2,Model is so popular it is hard to find to buy.
354,B,12/19/2022,2,Model is so popular it is hard to find to buy.
355,B,12/20/2022,2,Model is so popular it is hard to find to buy.
356,B,12/21/2022,2,Model is so popular it is hard to find to buy.
357,B,12/22/2022,2,Model is so popular it is hard to find to buy.
358,B,12/23/2022,2,Model is so popular it is hard to find to buy.
359,B,12/24/2022,2,Model is so popular it is hard to find to buy.
360,B,12/25/2022,2,Model is so popular it is hard to find to buy.
361,B,12/26/2022,2,Model is so popular it is hard to find to buy.
362,A,12/27/2022,3,Accident in jeep ended in explosion.
363,C,12/28/2022,3,The color of this model is ugly.
364,A,12/29/2022,3,Jeep Design 3 gas mileage is not good.
365,C,12/30/2022,2,Drivers love the color of this model.
366,C,12/31/2022,2,Fuel tank cover never opens on its own.
367,A,1/1/2023,1,Meets my needs but is not built with high quality materials
368,A,1/2/2023,3,Jeep Design 3 gas mileage is not good.
369,B,1/3/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
370,A,1/4/2023,3,The color of this model is ugly.
371,C,1/5/2023,2,Fuel tank cover never opens on its own.
372,B,1/6/2023,1,Meets my needs but is not built with high quality materials
373,A,1/7/2023,3,The color scratches easy.
374,B,1/8/2023,3,Easy to find this model to buy.
375,A,1/9/2023,1,Fuel tank works for driver needs.
376,B,1/10/2023,2,Fuel tank accomodates all of my needs.
377,A,1/11/2023,2,Jeep is expensive but worth it for my safety.
378,C,1/12/2023,3,Accident in jeep ended in explosion.
379,C,1/13/2023,2,Drivers love the color of this model.
380,B,1/14/2023,1,Easy to find this model to buy.
381,B,1/15/2023,1,Drivers hear road noise but not loudly.
382,B,1/16/2023,2,Drivers feel very safe in this model.
383,C,1/17/2023,1,Drivers don't complain about safety in this model.
384,A,1/18/2023,3,Fuel tank is too small.
385,A,1/19/2023,3,Fuel tank is too small.
386,A,1/20/2023,3,Fuel tank is too small.
387,A,1/21/2023,3,Fuel tank is too small.
388,A,1/22/2023,3,Fuel tank is too small.
389,A,1/23/2023,2,Fuel tank cover never opens on its own.
390,A,1/24/2023,1,Meets my needs but is not built with high quality materials
391,A,1/25/2023,3,Fuel tank is too small.
392,A,1/26/2023,3,Fuel tank is too small.
393,A,1/27/2023,3,Fuel tank is too small.
394,C,1/28/2023,3,Accident in jeep ended in explosion.
395,B,1/29/2023,3,The color of this model is ugly.
396,C,1/30/2023,3,Accident in jeep ended in explosion.
397,C,1/31/2023,2,Drivers love the color of this model.
398,C,2/1/2023,2,Drivers love the color of this model.
399,B,2/2/2023,1,Gas mileage is average in this model.
400,A,2/3/2023,2,Gas mileage is great in this model.
401,C,2/4/2023,1,Easy to find this model to buy.
402,A,2/5/2023,1,Drivers hear road noise but not loudly.
403,B,2/6/2023,1,Fuel tank works for driver needs.
404,A,2/7/2023,2,The materials used for this jeep are high quality.
405,B,2/8/2023,3,While driving down the road the jeep does not feel safe.
406,A,2/9/2023,3,The color of this model is ugly.
407,B,2/10/2023,3,The color of this model is ugly.
408,C,2/11/2023,3,Jeep Design 3 gas mileage is not good.
409,A,2/12/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
410,B,2/13/2023,2,Fuel tank accomodates all of my needs.
411,A,2/14/2023,2,Jeep is expensive but worth it for my safety.
412,C,2/15/2023,1,Gas mileage is average in this model.
413,C,2/16/2023,2,Gas mileage is great in this model.
414,C,2/17/2023,2,Drivers love the color of this model.
415,B,2/18/2023,3,Easily dentable.
416,A,2/19/2023,3,The road noise is really loud.
417,A,2/20/2023,3,Jeep Design 3 gas mileage is not good.
418,C,2/21/2023,3,Jeep Design 3 gas mileage is not good.
419,B,2/22/2023,3,Jeep Design 3 gas mileage is not good.
420,A,2/23/2023,3,The color scratches easy.
421,B,2/24/2023,3,Easy to find this model to buy.
422,A,2/25/2023,3,The color of this model is ugly.
423,C,2/26/2023,3,The color of this model is ugly.
424,A,2/27/2023,3,Jeep Design 3 gas mileage is not good.
425,B,2/28/2023,3,Jeep Design 3 gas mileage is not good.
426,C,3/1/2023,3,Jeep Design 3 gas mileage is not good.
427,C,3/2/2023,3,Jeep Design 3 gas mileage is not good.
428,C,3/3/2023,2,Never gets dents.
429,B,3/4/2023,3,Jeep Design 3 gas mileage is not good.
430,A,3/5/2023,3,Jeep Design 3 gas mileage is not good.
431,A,3/6/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
432,C,3/7/2023,1,Easy to find this model to buy.
433,B,3/8/2023,1,Drivers hear road noise but not loudly.
434,A,3/9/2023,1,Fuel tank works for driver needs.
435,C,3/10/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
436,A,3/11/2023,2,The materials used for this jeep are high quality.
437,C,3/12/2023,3,While driving down the road the jeep does not feel safe.
438,A,3/13/2023,3,The color of this model is ugly.
439,A,3/14/2023,3,The color of this model is ugly.
440,C,3/15/2023,2,Drivers feel very safe in this model.
441,A,3/16/2023,1,Drivers don't complain about safety in this model.
442,B,3/17/2023,1,Accident in jeep didn't end in explosion.
443,C,3/18/2023,2,Accident in jeep didn't end in explosion.
444,A,3/19/2023,3,Jeep Design 3 gas mileage is not good.
445,C,3/20/2023,1,Easy to find this model to buy.
446,B,3/21/2023,1,Drivers hear road noise but not loudly.
447,A,3/22/2023,2,Model is so popular it is hard to find to buy.
448,B,3/23/2023,2,Model is so popular it is hard to find to buy.
449,B,3/24/2023,2,Fuel tank cover never opens on its own.
450,B,3/25/2023,1,Meets my needs but is not built with high quality materials
451,B,3/26/2023,2,Model is so popular it is hard to find to buy.
452,B,3/27/2023,2,Model is so popular it is hard to find to buy.
453,B,3/28/2023,2,Model is so popular it is hard to find to buy.
454,B,3/29/2023,2,Model is so popular it is hard to find to buy.
455,B,3/30/2023,2,Model is so popular it is hard to find to buy.
456,B,3/31/2023,2,Model is so popular it is hard to find to buy.
457,B,4/1/2023,2,Model is so popular it is hard to find to buy.
458,B,4/2/2023,2,Model is so popular it is hard to find to buy.
459,B,4/3/2023,2,Model is so popular it is hard to find to buy.
460,B,4/4/2023,2,Model is so popular it is hard to find to buy.
461,B,4/5/2023,2,Model is so popular it is hard to find to buy.
462,B,4/6/2023,2,Model is so popular it is hard to find to buy.
463,B,4/7/2023,2,Model is so popular it is hard to find to buy.
464,B,4/8/2023,2,Model is so popular it is hard to find to buy.
465,B,4/9/2023,2,Model is so popular it is hard to find to buy.
466,B,4/10/2023,2,Model is so popular it is hard to find to buy.
467,C,4/11/2023,3,Jeep Design 3 gas mileage is not good.
468,A,4/12/2023,3,Jeep Design 3 gas mileage is not good.
469,B,4/13/2023,3,Jeep Design 3 gas mileage is not good.
470,C,4/14/2023,3,The color of this model is ugly.
471,B,4/15/2023,3,The color of this model is ugly.
472,B,4/16/2023,3,The color of this model is ugly.
473,A,4/17/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
474,B,4/18/2023,2,Fuel tank cover never opens on its own.
475,C,4/19/2023,1,Meets my needs but is not built with high quality materials
476,C,4/20/2023,1,Occassionaly gets dents.
477,B,4/21/2023,1,Occassionaly gets dents.
478,A,4/22/2023,3,Jeep Design 3 gas mileage is not good.
479,B,4/23/2023,1,Fuel tank works for driver needs.
480,A,4/24/2023,1,Gas mileage is average in this model.
481,B,4/25/2023,2,Gas mileage is great in this model.
482,C,4/26/2023,3,Jeep Design 3 gas mileage is not good.
483,A,4/27/2023,2,Never gets dents.
484,B,4/28/2023,2,Drivers feel very safe in this model.
485,C,4/29/2023,1,Drivers don't complain about safety in this model.
486,A,4/30/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
487,A,5/1/2023,2,Drivers love the color of this model.
488,A,5/2/2023,2,Fuel tank accomodates all of my needs.
489,B,5/3/2023,2,Jeep is expensive but worth it for my safety.
490,C,5/4/2023,3,The materials used for jeep design 3 are cheap
491,A,5/5/2023,1,Fuel tank cover opens rarely on its own. 
492,B,5/6/2023,1,Gas mileage is average in this model.
493,C,5/7/2023,2,Gas mileage is great in this model.
494,A,5/8/2023,2,Model is so popular it is hard to find to buy.
495,A,5/9/2023,2,Model is so popular it is hard to find to buy.
496,A,5/10/2023,2,Model is so popular it is hard to find to buy.
497,A,5/11/2023,2,Model is so popular it is hard to find to buy.
498,A,5/12/2023,2,Model is so popular it is hard to find to buy.
499,C,5/13/2023,2,Model is so popular it is hard to find to buy.
500,A,5/14/2023,2,Model is so popular it is hard to find to buy.
501,A,5/15/2023,2,Model is so popular it is hard to find to buy.
502,A,5/16/2023,2,Model is so popular it is hard to find to buy.
503,A,5/17/2023,2,Model is so popular it is hard to find to buy.
504,A,5/18/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
505,C,5/19/2023,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
